score_time,audio_time
1.732499999999999929e+01,2.656362811791382939e+01
1.735000000000000142e+01,2.658684807256235416e+01
1.737500000000000000e+01,2.663070798689845731e+01
1.740000000000000213e+01,2.669520786092214237e+01
1.742500000000000071e+01,2.675970773494582744e+01
1.744999999999999929e+01,2.682420760896951251e+01
1.747500000000000142e+01,2.688870748299319757e+01
1.750000000000000000e+01,2.695320735701687909e+01
1.752500000000000213e+01,2.701770723104056060e+01
1.755000000000000071e+01,2.708220710506424211e+01
1.757499999999999929e+01,2.714670697908792718e+01
1.760000000000000142e+01,2.719056689342403743e+01
1.762500000000000000e+01,2.721378684807256221e+01
1.765000000000000213e+01,2.723700680272108698e+01
1.767500000000000071e+01,2.726022675736961176e+01
1.769999999999999929e+01,2.728344671201814009e+01
1.772500000000000142e+01,2.730666666666666487e+01
1.775000000000000000e+01,2.732988662131518964e+01
1.777500000000000213e+01,2.735310657596371797e+01
1.780000000000000071e+01,2.737632653061224630e+01
1.782499999999999929e+01,2.739954648526076753e+01
1.785000000000000142e+01,2.742276643990929585e+01
1.787500000000000000e+01,2.744598639455782063e+01
1.790000000000000213e+01,2.748984630889392378e+01
1.792500000000000071e+01,2.755176618795665888e+01
1.794999999999999929e+01,2.761368606701939399e+01
1.797500000000000142e+01,2.767560594608213265e+01
1.800000000000000000e+01,2.773752582514487131e+01
1.802500000000000213e+01,2.779944570420760996e+01
1.805000000000000071e+01,2.786136558327034152e+01
1.807499999999999929e+01,2.792328546233307662e+01
1.810000000000000142e+01,2.798520534139581883e+01
1.812500000000000000e+01,2.802648526077097557e+01
1.815000000000000213e+01,2.804970521541949680e+01
1.817500000000000071e+01,2.807292517006802512e+01
1.819999999999999929e+01,2.809614512471655345e+01
1.822500000000000142e+01,2.811936507936507823e+01
1.825000000000000000e+01,2.814258503401360301e+01
1.827500000000000213e+01,2.816580498866213134e+01
1.830000000000000071e+01,2.818902494331065611e+01
1.832499999999999929e+01,2.821224489795918089e+01
1.835000000000000142e+01,2.823546485260770922e+01
1.837500000000000000e+01,2.825868480725623400e+01
1.840000000000000213e+01,2.828190476190475877e+01
1.842500000000000071e+01,2.830512471655328710e+01
1.844999999999999929e+01,2.832834467120181188e+01
1.847500000000000142e+01,2.835156462585033665e+01
1.850000000000000000e+01,2.837478458049886143e+01
1.852500000000000213e+01,2.839800453514738621e+01
1.855000000000000071e+01,2.842122448979591454e+01
1.857499999999999929e+01,2.844444444444444287e+01
1.860000000000000142e+01,2.846766439909297119e+01
1.862500000000000000e+01,2.849088435374149242e+01
1.865000000000000213e+01,2.851410430839002075e+01
1.867500000000000071e+01,2.853732426303854908e+01
1.869999999999999929e+01,2.856054421768707385e+01
1.872500000000000142e+01,2.858376417233559863e+01
1.875000000000000000e+01,2.860698412698412696e+01
1.877500000000000213e+01,2.863020408163265174e+01
1.880000000000000071e+01,2.865342403628117651e+01
1.882499999999999929e+01,2.867664399092970484e+01
1.885000000000000142e+01,2.869986394557822962e+01
1.887500000000000000e+01,2.874372385991433276e+01
1.890000000000000213e+01,2.880564373897706787e+01
1.892500000000000071e+01,2.886756361803980653e+01
1.894999999999999929e+01,2.892948349710254163e+01
1.897500000000000142e+01,2.899140337616527674e+01
1.900000000000000000e+01,2.905332325522801540e+01
1.902500000000000213e+01,2.911524313429075050e+01
1.905000000000000071e+01,2.917716301335348561e+01
1.907499999999999929e+01,2.923908289241622072e+01
1.910000000000000142e+01,2.928036281179137745e+01
1.912500000000000000e+01,2.930358276643990578e+01
1.915000000000000213e+01,2.932680272108843411e+01
1.917500000000000071e+01,2.935002267573695534e+01
