score_time,audio_time
7.257500000000000284e+01,1.119666213151927252e+02
7.260000000000000853e+01,1.119898412698412784e+02
7.262500000000000000e+01,1.120130612244897890e+02
7.265000000000000568e+01,1.120362811791383137e+02
7.267499999999999716e+01,1.120595011337868243e+02
7.270000000000000284e+01,1.120827210884353633e+02
7.272500000000000853e+01,1.121059410430838739e+02
7.275000000000000000e+01,1.121291609977324129e+02
7.277500000000000568e+01,1.121523809523809661e+02
7.279999999999999716e+01,1.121756009070294766e+02
7.282500000000000284e+01,1.121988208616780014e+02
7.285000000000000853e+01,1.122220408163265120e+02
7.287500000000000000e+01,1.122452607709750509e+02
7.290000000000000568e+01,1.122684807256235615e+02
7.292499999999999716e+01,1.122917006802721005e+02
7.295000000000000284e+01,1.123149206349206253e+02
7.297500000000000853e+01,1.123381405895691501e+02
7.300000000000000000e+01,1.123613605442176890e+02
7.302500000000000568e+01,1.123845804988661996e+02
7.304999999999999716e+01,1.124078004535147386e+02
7.307500000000000284e+01,1.124310204081632492e+02
7.310000000000000853e+01,1.124542403628117739e+02
7.312500000000000000e+01,1.124774603174602987e+02
7.315000000000000568e+01,1.125006802721088235e+02
7.317499999999999716e+01,1.125239002267573625e+02
7.320000000000000284e+01,1.125471201814058873e+02
7.322500000000000853e+01,1.125703401360544120e+02
7.325000000000000000e+01,1.125935600907029226e+02
7.327500000000000568e+01,1.126167800453514616e+02
7.329999999999999716e+01,1.126399999999999864e+02
7.332500000000000284e+01,1.126632199546485111e+02
7.335000000000000853e+01,1.126864399092970501e+02
7.337500000000000000e+01,1.127096598639455749e+02
7.340000000000000568e+01,1.127328798185940997e+02
7.342499999999999716e+01,1.127560997732426102e+02
7.345000000000000284e+01,1.127793197278911492e+02
7.347500000000000853e+01,1.128025396825396740e+02
7.350000000000000000e+01,1.128257596371881988e+02
7.352500000000000568e+01,1.128489795918367093e+02
7.354999999999999716e+01,1.128721995464852483e+02
7.357500000000000284e+01,1.128954195011337873e+02
7.360000000000000853e+01,1.129186394557822979e+02
7.362500000000000000e+01,1.129418594104308369e+02
7.365000000000000568e+01,1.129650793650793474e+02
7.367499999999999716e+01,1.129882993197278722e+02
7.370000000000000284e+01,1.130115192743763970e+02
7.372500000000000853e+01,1.130347392290249360e+02
7.375000000000000000e+01,1.130579591836734750e+02
7.377500000000000568e+01,1.130811791383219855e+02
7.379999999999999716e+01,1.131043990929705103e+02
7.382500000000000284e+01,1.131276190476190209e+02
7.385000000000000853e+01,1.131508390022675599e+02
7.387500000000000000e+01,1.131740589569160704e+02
7.390000000000000568e+01,1.131972789115646094e+02
7.392499999999999716e+01,1.132204988662131626e+02
7.395000000000000284e+01,1.132437188208616732e+02
7.397500000000000853e+01,1.132669387755101980e+02
7.400000000000000000e+01,1.132901587301587085e+02
7.402500000000000568e+01,1.133133786848072475e+02
7.404999999999999716e+01,1.133365986394557581e+02
7.407500000000000284e+01,1.133598185941042971e+02
7.410000000000000853e+01,1.133830385487528503e+02
7.412500000000000000e+01,1.134062585034013608e+02
7.415000000000000568e+01,1.134294784580498856e+02
7.417499999999999716e+01,1.134526984126983962e+02
7.420000000000000284e+01,1.134759183673469352e+02
7.422500000000000853e+01,1.134991383219954457e+02
7.425000000000000000e+01,1.135223582766439847e+02
7.427500000000000568e+01,1.135455782312925095e+02
7.429999999999999716e+01,1.135687981859410343e+02
7.432500000000000284e+01,1.135920181405895732e+02
7.435000000000000853e+01,1.136152380952380838e+02
7.437500000000000000e+01,1.136384580498866086e+02
7.440000000000000568e+01,1.136616780045351334e+02
7.442499999999999716e+01,1.136848979591836581e+02
7.445000000000000284e+01,1.137081179138321829e+02
7.447500000000000853e+01,1.137313378684807077e+02
7.450000000000000000e+01,1.137545578231292467e+02
7.452500000000000568e+01,1.137777777777777715e+02
7.454999999999999716e+01,1.138009977324262962e+02
7.457500000000000284e+01,1.138242176870748068e+02
7.460000000000000853e+01,1.138474376417233458e+02
7.462500000000000000e+01,1.138706575963718706e+02
7.465000000000000568e+01,1.138938775510203953e+02
7.467499999999999716e+01,1.139170975056689343e+02
7.470000000000000284e+01,1.139403174603174591e+02
7.472500000000000853e+01,1.139635374149659839e+02
7.475000000000000000e+01,1.139867573696144945e+02
7.477500000000000568e+01,1.140099773242630334e+02
7.479999999999999716e+01,1.140331972789115582e+02
7.482500000000000284e+01,1.140564172335600830e+02
7.485000000000000853e+01,1.140796371882085936e+02
7.487500000000000000e+01,1.141028571428571325e+02
7.490000000000000568e+01,1.141260770975056715e+02
7.492499999999999716e+01,1.141492970521541821e+02
7.495000000000000284e+01,1.141725170068027211e+02
7.497500000000000853e+01,1.141957369614512317e+02
7.500000000000000000e+01,1.142189569160997564e+02
7.502500000000000568e+01,1.142421768707482670e+02
7.504999999999999716e+01,1.142653968253968060e+02
7.507500000000000284e+01,1.142886167800453592e+02
7.510000000000000853e+01,1.143118367346938697e+02
7.512500000000000000e+01,1.143350566893423945e+02
7.515000000000000568e+01,1.143582766439909051e+02
7.517499999999999716e+01,1.143814965986394441e+02
7.520000000000000284e+01,1.144047165532879546e+02
7.522500000000000853e+01,1.144279365079364936e+02
7.525000000000000000e+01,1.144511564625850468e+02
7.527500000000000568e+01,1.144743764172335574e+02
7.529999999999999716e+01,1.144975963718820822e+02
7.532500000000000284e+01,1.145208163265305927e+02
7.535000000000000853e+01,1.145440362811791317e+02
7.537500000000000000e+01,1.145672562358276423e+02
7.540000000000000568e+01,1.145904761904761813e+02
7.542499999999999716e+01,1.146136961451247060e+02
7.545000000000000284e+01,1.146369160997732308e+02
7.547500000000000853e+01,1.146601360544217698e+02
7.550000000000000000e+01,1.146833560090702804e+02
7.552500000000000568e+01,1.147065759637188194e+02
7.554999999999999716e+01,1.147297959183673299e+02
7.557500000000000284e+01,1.147530158730158547e+02
7.560000000000000853e+01,1.147762358276643795e+02
7.562500000000000000e+01,1.147994557823129185e+02
7.565000000000000568e+01,1.148226757369614575e+02
7.567499999999999716e+01,1.148458956916099680e+02
7.570000000000000284e+01,1.148691156462584928e+02
7.572500000000000853e+01,1.148923356009070034e+02
7.575000000000000000e+01,1.149155555555555424e+02
7.577500000000000568e+01,1.149387755102040671e+02
7.579999999999999716e+01,1.149619954648525919e+02
7.582500000000000284e+01,1.149852154195011309e+02
7.585000000000000853e+01,1.150084353741496557e+02
7.587500000000000000e+01,1.150316553287981804e+02
7.590000000000000568e+01,1.150548752834466910e+02
7.592499999999999716e+01,1.150780952380952300e+02
7.595000000000000284e+01,1.151013151927437548e+02
7.597500000000000853e+01,1.151245351473922796e+02
7.600000000000000000e+01,1.151477551020408185e+02
7.602500000000000568e+01,1.151709750566893291e+02
7.604999999999999716e+01,1.151941950113378681e+02
7.607500000000000284e+01,1.152174149659863787e+02
7.610000000000000853e+01,1.152406349206349176e+02
7.612500000000000000e+01,1.152638548752834282e+02
7.615000000000000568e+01,1.152870748299319530e+02
7.617499999999999716e+01,1.153102947845804778e+02
7.620000000000000284e+01,1.153335147392290168e+02
7.622500000000000853e+01,1.153567346938775415e+02
7.625000000000000000e+01,1.153799546485260805e+02
7.627500000000000568e+01,1.154031746031745911e+02
7.629999999999999716e+01,1.154263945578231159e+02
7.632500000000000284e+01,1.154496145124716406e+02
7.635000000000000853e+01,1.154728344671201512e+02
7.637500000000000000e+01,1.154960544217686902e+02
7.640000000000000568e+01,1.155192743764172150e+02
7.642499999999999716e+01,1.155424943310657682e+02
7.645000000000000284e+01,1.155657142857142787e+02
7.647500000000000853e+01,1.155889342403627893e+02
7.650000000000000000e+01,1.156121541950113283e+02
7.652500000000000568e+01,1.156353741496598388e+02
